[2024-05-21 20:29:55] [ INFO ] [OdontologoIDaoH2:35] Odontologo persistido: Odontologo{id=3, numeroMatricula=21, nombre='Fulanito', apellido='Jaurez'}
[2024-05-21 20:42:17] [ INFO ] [OdontologoIDaoH2:80] odontologo listado: Odontologo{id=1, numeroMatricula=21, nombre='Fulanito', apellido='Jaurez'}
[2024-05-21 20:42:23] [ INFO ] [OdontologoIDaoH2:35] Odontologo persistido: Odontologo{id=1, numeroMatricula=21, nombre='Fulanito', apellido='Jaurez'}
[2024-05-21 20:48:24] [ INFO ] [OdontologosIDaoMemoria:19] Odontologo guardado: Odontologo{id=1, numeroMatricula=1, nombre='FEDERICO', apellido='SANCHEZ'}
[2024-05-21 20:48:24] [ INFO ] [OdontologosIDaoMemoria:19] Odontologo guardado: Odontologo{id=2, numeroMatricula=2, nombre='HOMERO', apellido='SIMPSON'}
[2024-05-21 20:48:25] [ INFO ] [OdontologosIDaoMemoria:19] Odontologo guardado: Odontologo{id=3, numeroMatricula=21, nombre='Fulanito', apellido='Jaurez'}
[2024-05-21 20:48:31] [ INFO ] [OdontologosIDaoMemoria:19] Odontologo guardado: Odontologo{id=1, numeroMatricula=1, nombre='FEDERICO', apellido='SANCHEZ'}
[2024-05-21 20:48:31] [ INFO ] [OdontologosIDaoMemoria:19] Odontologo guardado: Odontologo{id=2, numeroMatricula=2, nombre='HOMERO', apellido='SIMPSON'}
[2024-05-21 20:48:31] [ INFO ] [OdontologosIDaoMemoria:19] Odontologo guardado: Odontologo{id=3, numeroMatricula=21, nombre='Fulanito', apellido='Jaurez'}
[2024-05-21 20:48:57] [ INFO ] [OdontologosIDaoMemoria:19] Odontologo guardado: Odontologo{id=1, numeroMatricula=1, nombre='FEDERICO', apellido='SANCHEZ'}
[2024-05-21 20:48:57] [ INFO ] [OdontologosIDaoMemoria:19] Odontologo guardado: Odontologo{id=2, numeroMatricula=2, nombre='HOMERO', apellido='SIMPSON'}
[2024-05-21 20:48:57] [ INFO ] [OdontologosIDaoMemoria:19] Odontologo guardado: Odontologo{id=3, numeroMatricula=21, nombre='Fulanito', apellido='Jaurez'}
